Designator,Mid X,Mid Y,Rotation,Layer
BZ1,167.256785,-65.786,0.0,bottom
C1,193.294,-135.509,270.0,bottom
C10,164.592,-105.41,90.0,bottom
C11,181.686,-71.755,90.0,bottom
C12,178.892,-75.692,180.0,bottom
C13,202.565,-65.044,90.0,bottom
C14,204.47,-81.915,270.0,bottom
C15,204.47,-86.299,90.0,bottom
C16,210.99381,-146.685,90.0,bottom
C17,211.88281,-143.637,0.0,bottom
C18,186.21,-118.933,90.0,bottom
C19,183.924,-123.317,180.0,bottom
C2,174.879,-78.74,90.0,bottom
C20,180.848,-113.224621,270.0,bottom
C21,215.138,-73.635,180.0,bottom
C22,215.152,-71.501,180.0,bottom
C23,183.972,-89.789,90.0,bottom
C24,181.305,-94.361,180.0,bottom
C25,205.994,-94.595,270.0,bottom
C3,170.18,-90.297,180.0,bottom
C4,163.703,-90.297,180.0,bottom
C5,160.147,-79.248,270.0,bottom
C6,171.323,-75.565,0.0,bottom
C7,174.879,-84.709,90.0,bottom
C8,175.935,-84.681,90.0,bottom
C9,161.671,-145.796,0.0,top
D10,182.448,-77.216,270.0,bottom
D11,199.960786,-146.304,0.0,bottom
D12,202.86881,-143.637,0.0,bottom
D13,186.845,-124.46,270.0,bottom
D14,184.607,-95.377,270.0,bottom
D2,179.705,-62.611,0.0,top
F1,216.535,-123.825,270.0,top
J1,190.373,-58.457,0.0,top
J10,170.101,-56.642,0.0,top
J11,210.233,-56.642,0.0,top
J12,221.129,-65.151,90.0,top
J13,222.355,-127.5,90.0,top
J14,161.417,-100.0,180.0,top
J15,218.115,-100.0,0.0,top
J2,155.829,-78.216,0.0,top
J3,224.796,-77.114,180.0,top
J4,157.734,-89.122,90.0,top
J5,222.467,-90.043,270.0,top
J6,190.119,-146.34,0.0,bottom
J7,159.109,-66.294,270.0,top
J8,157.645,-127.5,270.0,top
J9,190.306,-102.616,0.0,bottom
L1,191.719,-77.47,0.0,bottom
L2,194.31,-119.507,270.0,bottom
L3,194.056,-93.218,0.0,bottom
MES1,207.919,-115.443,0.0,top
Q1,205.74,-123.063,270.0,bottom
Q2,208.661,-123.063,270.0,bottom
Q3,202.819,-123.063,270.0,bottom
Q5,211.582,-123.063,270.0,bottom
Q6,188.5465,-133.604,180.0,bottom
Q7,167.767,-94.6935,90.0,bottom
R1,211.328,-127.508,0.0,bottom
R10,171.704,-136.906,0.0,top
R11,166.243,-106.172,0.0,bottom
R12,175.385,-136.779,0.0,top
R13,191.516,-107.823,0.0,bottom
R14,193.675,-107.823,0.0,bottom
R15,166.243,-105.029,180.0,bottom
R16,170.561,-94.298,270.0,bottom
R17,168.275,-92.075,180.0,bottom
R18,181.686,-68.326,0.0,bottom
R19,181.686,-69.342,180.0,bottom
R2,208.026,-127.381,180.0,bottom
R20,202.438,-86.36,90.0,bottom
R21,213.619,-93.218,270.0,bottom
R22,213.619,-95.504,270.0,bottom
R23,213.619,-97.79,270.0,bottom
R24,197.422786,-137.964,0.0,bottom
R25,202.690786,-141.097,0.0,bottom
R26,197.422786,-139.954,0.0,bottom
R27,208.07581,-143.383,0.0,bottom
R3,201.041,-128.651,0.0,bottom
R30,198.499,-55.202,0.0,bottom
R31,198.499,-57.192,0.0,bottom
R32,198.499,-59.182,0.0,bottom
R33,198.499,-61.172,0.0,bottom
R36,186.69,-116.078,270.0,bottom
R37,185.547,-116.078,270.0,bottom
R38,165.775,-90.269,0.0,bottom
R39,183.845,-87.249,0.0,bottom
R4,197.739,-128.651,0.0,bottom
R40,184.099,-85.725,180.0,bottom
R42,191.643,-132.588,0.0,bottom
R43,191.643,-133.731,0.0,bottom
R5,193.294,-133.223,270.0,bottom
R7,167.257,-137.033,0.0,top
SW1,208.28,-132.334,0.0,top
SW2,166.152,-130.989,90.0,top
SW5,173.482,-130.81,90.0,top
SW6,167.812,-143.637,0.0,top
SW7,178.562,-143.637,0.0,top
U1,198.755,-133.096,0.0,bottom
U10,181.038,-119.783,180.0,bottom
U11,213.755,-65.786,270.0,bottom
U12,178.546,-90.91,180.0,bottom
U2,167.513,-100.457,180.0,bottom
U3,167.513,-82.931,270.0,bottom
U4,176.698,-72.285,180.0,bottom
U5,190.246,-109.963,0.0,top
U6,213.741,-83.058,270.0,bottom
U7,170.434,-116.586,180.0,top
U8,214.80381,-145.796,270.0,bottom
U9,180.659,-55.88,270.0,bottom
