Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0402,8,100n,C1525
"C11, C12",0805,2,22u,C45783
C9,0603,1,4.7u,C19666
"D1, D2",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,2,WS2812B,
"D3, D5",0805,2,LED_GREEN,C2297
D4,0805,1,LED_YELLOW,C2296
J2,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
"R1, R3",0402,2,5.1k,C25905
"R2, R4, R9",0603,3,470,C23179
"R5, R6, R7, R8",0402,4,10k,C25744
"SW1, SW2",TVBP06_SW,2,SW_Push,
U1,S9706,1,~,
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U4,MSOP-10_3x3mm_P0.5mm,1,CH340E,C99652
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
